ipc_class_level	ancestor	parent	ipc_version
A01D  33/14	A01D33/00	A	2017.01
A01D  34/00	A01D34/00	A	2017.01
A01D  34/01	A01D34/00	A	2017.01
A01D  34/02	A01D34/01	A	2017.01
A01D  34/03	A01D34/02	A	2017.01
A01D  34/04	A01D34/03	A	2017.01
A01D  34/06	A01D34/03	A	2017.01
A01D  34/07	A01D34/03	A	2017.01
A01D  34/08	A01D34/02	A	2017.01
A01D  34/10	A01D34/08	A	2017.01
A01D  34/125	A01D34/02	A	2017.01
A01D  34/13	A01D34/02	A	2017.01
A01D  34/135	A01D34/13	A	2017.01
A01D  34/14	A01D34/13	A	2017.01
A01D  34/16	A01D34/13	A	2017.01
A01D  34/17	A01D34/13	A	2017.01
A01D  34/18	A01D34/13	A	2017.01
A01D  34/20	A01D34/13	A	2017.01
A01D  34/22	A01D34/20	A	2017.01
A01D  34/23	A01D34/13	A	2017.01
A01D  34/24	A01D34/02	A	2017.01
A01D  34/26	A01D34/24	A	2017.01
A01D  34/27	A01D34/24	A	2017.01
A01D  34/28	A01D34/02	A	2017.01
A01D  34/30	A01D34/02	A	2017.01
A01D  34/32	A01D34/30	A	2017.01
A01D  34/33	A01D34/32	A	2017.01
A01D  34/34	A01D34/32	A	2017.01
A01D  34/36	A01D34/30	A	2017.01
A01D  34/37	A01D34/30	A	2017.01
A01D  34/38	A01D34/30	A	2017.01
A01D  34/40	A01D34/02	A	2017.01
A01D  34/404	A01D34/01	A	2017.01
A01D  34/408	A01D34/404	A	2017.01
A01D  34/412	A01D34/01	A	2017.01
A01D  34/416	A01D34/412	A	2017.01
A01D  34/42	A01D34/412	A	2017.01
A01D  34/43	A01D34/42	A	2017.01
A01D  34/44	A01D34/43	A	2017.01
A01D  34/46	A01D34/42	A	2017.01
A01D  34/47	A01D34/46	A	2017.01
A01D  34/49	A01D34/42	A	2017.01
A01D  34/52	A01D34/42	A	2017.01
A01D  34/53	A01D34/52	A	2017.01
A01D  34/535	A01D34/52	A	2017.01
A01D  34/54	A01D34/42	A	2017.01
A01D  34/56	A01D34/42	A	2017.01
A01D  34/57	A01D34/56	A	2017.01
A01D  34/58	A01D34/56	A	2017.01
A01D  34/60	A01D34/56	A	2017.01
A01D  34/62	A01D34/42	A	2017.01
A01D  34/63	A01D34/412	A	2017.01
A01D  34/64	A01D34/63	A	2017.01
A01D  34/66	A01D34/64	A	2017.01
A01D  34/67	A01D34/63	A	2017.01
A01D  34/68	A01D34/67	A	2017.01
A01D  34/685	A01D34/68	A	2017.01
A01D  34/69	A01D34/68	A	2017.01
A01D  34/695	A01D34/63	A	2017.01
A01D  34/71	A01D34/63	A	2017.01
A01D  34/73	A01D34/63	A	2017.01
A01D  34/74	A01D34/63	A	2017.01
A01D  34/76	A01D34/63	A	2017.01
A01D  34/77	A01D34/76	A	2017.01
A01D  34/78	A01D34/76	A	2017.01
A01D  34/80	A01D34/76	A	2017.01
A01D  34/81	A01D34/63	A	2017.01
A01D  34/82	A01D34/63	A	2017.01
A01D  34/83	A01D34/01	A	2017.01
A01D  34/835	A01D34/00	A	2017.01
A01D  34/84	A01D34/835	A	2017.01
A01D  34/86	A01D34/835	A	2017.01
A01D  34/90	A01D34/835	A	2017.01
A01D  37/00	A01D	A	2017.01
A01D  37/02	A01D37/00	A	2017.01
A01D  37/04	A01D37/00	A	2017.01
A01D  37/06	A01D37/00	A	2017.01
A01D  39/00	A01D	A	2017.01
A01D  41/00	A01D	A	2017.01
A01D  41/02	A01D41/00	A	2017.01
A01D  41/04	A01D41/00	A	2017.01
A01D  41/06	A01D41/00	A	2017.01
A01D  41/08	A01D41/00	A	2017.01
A01D  41/10	A01D41/00	A	2017.01
A01D  41/12	A01D41/00	A	2017.01
A01D  41/127	A01D41/12	A	2017.01
A01D  41/133	A01D41/12	A	2017.01
A01D  41/14	A01D41/12	A	2017.01
A01D  41/16	A01D41/14	A	2017.01
A01D  42/00	A01D	A	2017.01
A01D  42/02	A01D42/00	A	2017.01
A01D  42/04	A01D42/00	A	2017.01
A01D  42/06	A01D42/00	A	2017.01
A01D  42/08	A01D42/06	A	2017.01
A01D  43/00	A01D	A	2017.01
A01D  43/02	A01D43/00	A	2017.01
A01D  43/04	A01D43/00	A	2017.01
A01D  43/06	A01D43/00	A	2017.01
A01D  43/063	A01D43/06	A	2017.01
A01D  43/07	A01D43/06	A	2017.01
A01D  43/073	A01D43/07	A	2017.01
A01D  43/077	A01D43/06	A	2017.01
A01D  43/08	A01D43/00	A	2017.01
A01D  43/10	A01D43/00	A	2017.01
A01D  43/12	A01D43/00	A	2017.01
A01D  43/14	A01D43/00	A	2017.01
A01D  43/16	A01D43/00	A	2017.01
A01D  44/00	A01D	A	2017.01
A01D  44/02	A01D44/00	A	2017.01
A01D  45/00	A01D	A	2017.01
A01D  45/02	A01D45/00	A	2017.01
A01D  45/04	A01D45/00	A	2017.01
A01D  45/06	A01D45/00	A	2017.01
A01D  45/10	A01D45/00	A	2017.01
A01D  45/16	A01D45/00	A	2017.01
A01D  45/22	A01D45/00	A	2017.01
A01D  45/24	A01D45/00	A	2017.01
A01D  45/26	A01D45/00	A	2017.01
A01D  45/28	A01D45/00	A	2017.01
A01D  45/30	A01D45/00	A	2017.01
A01D  46/00	A01D	A	2017.01
A01D  46/02	A01D46/00	A	2017.01
A01D  46/04	A01D46/00	A	2017.01
A01D  46/06	A01D46/00	A	2017.01
A01D  46/08	A01D46/00	A	2017.01
A01D  46/10	A01D46/08	A	2017.01
A01D  46/12	A01D46/08	A	2017.01
A01D  46/14	A01D46/08	A	2017.01
A01D  46/16	A01D46/14	A	2017.01
A01D  46/18	A01D46/16	A	2017.01
A01D  46/20	A01D46/00	A	2017.01
A01D  46/22	A01D46/00	A	2017.01
A01D  46/24	A01D46/00	A	2017.01
A01D  46/247	A01D46/24	A	2017.01
A01D  46/253	A01D46/24	A	2017.01
A01D  46/26	A01D46/00	A	2017.01
A01D  46/28	A01D46/00	A	2017.01
A01D  46/30	A01D46/00	A	2017.01
A01D  47/00	A01D	A	2017.01
A01D  51/00	A01D	A	2017.01
A01D  57/00	A01D	A	2017.01
A01D  57/01	A01D57/00	A	2017.01
A01D  57/02	A01D57/01	A	2017.01
A01D  57/03	A01D57/02	A	2017.01
A01D  57/04	A01D57/02	A	2017.01
A01D  57/05	A01D57/02	A	2017.01
A01D  57/06	A01D57/01	A	2017.01
A01D  57/08	A01D57/01	A	2017.01
A01D  57/10	A01D57/01	A	2017.01
A01D  57/12	A01D57/00	A	2017.01
A01D  57/14	A01D57/00	A	2017.01
A01D  57/16	A01D57/00	A	2017.01
A01D  57/18	A01D57/00	A	2017.01
A01D  57/20	A01D57/00	A	2017.01
A01D  57/22	A01D57/00	A	2017.01
A01D  57/24	A01D57/00	A	2017.01
A01D  57/26	A01D57/00	A	2017.01
A01D  57/28	A01D57/00	A	2017.01
A01D  57/30	A01D57/00	A	2017.01
A01D  59/00	A01D	A	2017.01
A01D  59/02	A01D59/00	A	2017.01
A01D  59/04	A01D59/00	A	2017.01
A01D  59/06	A01D59/00	A	2017.01
A01D  59/08	A01D59/00	A	2017.01
A01D  59/10	A01D59/00	A	2017.01
A01D  59/12	A01D59/00	A	2017.01
A01D  59/14	A01D59/00	A	2017.01
A01D  61/00	A01D	A	2017.01
A01D  61/02	A01D61/00	A	2017.01
A01D  61/04	A01D61/00	A	2017.01
A01D  63/00	A01D	A	2017.01
A01D  63/02	A01D63/00	A	2017.01
A01D  63/04	A01D63/00	A	2017.01
A01D  65/00	A01D	A	2017.01
A01D  65/02	A01D65/00	A	2017.01
A01D  65/04	A01D65/00	A	2017.01
A01D  65/06	A01D65/00	A	2017.01
A01D  65/08	A01D65/00	A	2017.01
A01D  67/00	A01D	A	2017.01
A01D  67/02	A01D67/00	A	2017.01
A01D  67/04	A01D67/00	A	2017.01
A01D  69/00	A01D	A	2017.01
A01D  69/02	A01D69/00	A	2017.01
A01D  69/03	A01D69/00	A	2017.01
A01D  69/06	A01D69/00	A	2017.01
A01D  69/08	A01D69/00	A	2017.01
A01D  69/10	A01D69/00	A	2017.01
A01D  69/12	A01D69/00	A	2017.01
A01D  75/00	A01D	A	2017.01
A01D  75/02	A01D75/00	A	2017.01
