ipc_class_symbol,last_ipc_version,NbAppln
"A01D  59/04",2006-01-01,596
"A01D  59/06",2006-01-01,204
"A01D  59/08",2006-01-01,268
"A01D  59/10",2006-01-01,46
"A01D  59/12",2006-01-01,440
"A01D  59/14",2006-01-01,26
"A01D  61/00",2006-01-01,6795
"A01D  61/02",2006-01-01,363
"A01D  61/04",2006-01-01,382
"A01D  63/00",2006-01-01,948
"A01D  63/02",2006-01-01,878
"A01D  63/04",2006-01-01,999
"A01D  65/00",2006-01-01,355
"A01D  65/02",2006-01-01,383
"A01D  65/04",2006-01-01,86
"A01D  65/06",2006-01-01,46
"A01D  65/08",2006-01-01,92
"A01D  67/00",2006-01-01,8140
"A01D  67/02",2006-01-01,521
"A01D  67/04",2006-01-01,407
"A01D  69/00",2006-01-01,8326
"A01D  69/02",2006-01-01,1122
"A01D  69/03",2006-01-01,520
"A01D  69/06",2006-01-01,2238
"A01D  69/08",2006-01-01,1075
"A01D  69/10",2006-01-01,414
"A01D  69/12",2006-01-01,622
"A01D  75/00",2006-01-01,2481
"A01D  75/02",2006-01-01,418
"A01D  75/04",2006-01-01,376
"A01D  75/06",2006-01-01,704
"A01D  75/08",2006-01-01,234
"A01D  75/10",2006-01-01,30
"A01D  75/12",2006-01-01,19
"A01D  75/16",2006-01-01,120
"A01D  75/18",2006-01-01,2463
"A01D  75/20",2006-01-01,1564
"A01D  75/24",2006-01-01,54
"A01D  75/26",2006-01-01,114
"A01D  75/28",2006-01-01,956
"A01D  75/30",2006-01-01,872
"A01D  76/00",2006-01-01,675
"A01D  78/00",2009-01-01,3209
"A01D  78/02",2006-01-01,632
"A01D  78/04",2006-01-01,29
"A01D  78/06",2006-01-01,310
"A01D  78/08",2006-01-01,491
"A01D  78/10",2006-01-01,3782
"A01D  78/12",2006-01-01,879
"A01D  78/14",2006-01-01,120
"A01D  78/16",2006-01-01,167
"A01D  78/18",2006-01-01,17
"A01D  78/20",2006-01-01,3
"A01D  80/00",2006-01-01,1128
"A01D  80/02",2006-01-01,367
"A01D  82/00",2006-01-01,1767
"A01D  82/02",2006-01-01,154
"A01D  84/00",2006-01-01,602
"A01D  84/02",2006-01-01,119
"A01D  85/00",2009-01-01,1705
"A01D  87/00",2006-01-01,2409
"A01D  87/02",2006-01-01,609
"A01D  87/04",2006-01-01,36
"A01D  87/06",2006-01-01,102
"A01D  87/08",2006-01-01,355
"A01D  87/10",2006-01-01,754
"A01D  87/12",2006-01-01,2379
"A01D  89/00",2006-01-01,2364
"A01D  90/00",2006-01-01,1896
"A01D  90/02",2006-01-01,1255
"A01D  90/04",2006-01-01,910
"A01D  90/06",2006-01-01,165
"A01D  90/08",2006-01-01,1520
"A01D  90/10",2006-01-01,1473
"A01D  90/12",2006-01-01,890
"A01D  90/14",2006-01-01,205
"A01D  90/16",2006-01-01,50
"A01D  91/00",2006-01-01,386
"A01D  91/02",2006-01-01,266
"A01D  91/04",2006-01-01,583
"A01D  93/00",2009-01-01,98
"A01D 101/00",2006-01-01,410
"A01F   1/00",2006-01-01,246
"A01F   1/02",2006-01-01,127
"A01F   1/04",2006-01-01,50
"A01F   1/06",2006-01-01,121
"A01F   3/00",2006-01-01,121
"A01F   5/00",2006-01-01,199
"A01F   7/00",2006-01-01,2011
"A01F   7/02",2006-01-01,558
"A01F   7/04",2006-01-01,503
"A01F   7/06",2006-01-01,1584
"A01F   7/70",2010-01-01,74
"A01F  11/00",2006-01-01,1136
"A01F  11/02",2006-01-01,136
"A01F  11/04",2006-01-01,141
"A01F  11/06",2006-01-01,1894
"A01F  11/08",2006-01-01,51
"A01F  12/00",2006-01-01,7294
"A01F  12/10",2006-01-01,5051
